id,tweet,tweet_length,tweet_cleaned,tweet_clst
16,<e>Romney</e> just solidified his claim for why I'll be voting for him with his take on immigration #Romney2012,111,"['Romney', 'solidify', 'claim', 'vote', 'take', 'immigration']",Romney just solidified his claim for why I 'll be voting for him with his take on immigration Romney2012
17,So <e>Romney</e> wants to pass the @DreamAct.. Its one thing he has said that I am loving tonight #debates,106,"['Romney', 'want', 'pass', 'DreamAct', 'one', 'thing', 'say', 'love', 'tonight', 'debate']",So Romney wants to pass the DreamAct Its one thing he has said that I am loving tonight debates
18,<e>Romney</e> doing a terrific job at #Debate,45,"['Romney', 'terrific', 'job', 'Debate']",Romney doing a terrific job at Debate
19,<e>Romney</e> for President,27,"['Romney', 'President']",Romney for President
20,#<e>Romney</e> explaining things even better than 1st #debate. #connecting,74,"['Romney', 'explain', 'things', 'even', 'better', 'debate', 'connect']",Romney explaining things even better than 1st debate connecting
21,"<e>Romney</e> needs to be given a chance, he's won the last debate and he's on top of this one",94,"['Romney', 'need', 'give', 'chance', 'last', 'debate', 'top', 'one']",Romney needs to be given a chance he 's won the last debate and he 's on top of this one
22, #<e>Romney</e> #<e>Romney</e> #<e>Romney</e>,45,"['Romney', 'Romney', 'Romney']",Romney Romney Romney
23, #<e>Romney</e>,15,['Romney'],Romney
24,<e> Romney</e>/Ryan <a>Believe in America</a>! #whatsurtag,58,"['Believe', 'America', 'whatsurtag']",Romney/Ryan Believe in America whatsurtag
25, Mitt <e>Romney</e> that's my guy…,34,"['Mitt', 'Romney']",Mitt Romney that 's my guy…
26, #WhyDoYouThinkItsOkayTo <a>vote</a> for <e>Romney</e>,54,"['WhyDoYouThinkItsOkayTo', 'vote', 'Romney']",WhyDoYouThinkItsOkayTo vote for Romney
27, â˜›The #YouthVote is Waking Up! Pew Research Center: <e>Romney</e> gains +10 points in favorability among <a>18-29y</a>/oâ˜š ,126,"['YouthVote', 'Waking', 'Pew', 'Research', 'Center', 'Romney', 'gain', 'point', 'favorability', 'among']",â˜›The YouthVote is Waking Up Pew Research Center Romney gains 10 points in favorability among 18-29y/oâ˜š
28, Polls don't mean anything but...RT @WestWingReport Gallup: <e>Romney</e>'s national <a>lead</a> has widened to 4 points.<e> Romney</e> 50,138,"['Polls', 'mean', 'anything', 'RT', 'WestWingReport', 'Gallup', 'Romney', 'national', 'lead', 'widen', 'point', 'Romney']",Polls do n't mean anything but RT WestWingReport Gallup Romney 's national lead has widened to 4 points Romney 50
29, #debates Go <e>Romney</e>,26,"['debate', 'Go', 'Romney']",debates Go Romney
30,<e> Romney</e> needs to display the same energy continue to redefine who is.  And attack the current <a>economic conditions</a>.  Be natural.,141,"['Romney', 'need', 'display', 'energy', 'continue', 'redefine', 'attack', 'current', 'economic', 'condition', 'natural']",Romney needs to display the same energy continue to redefine who is And attack the current economic conditions Be natural
31, I think with another strong performance tonight <e>Romney</e> will <a>win</a>.,79,"['think', 'another', 'strong', 'performance', 'tonight', 'Romney', 'win']",I think with another strong performance tonight Romney will win
32, /r/politics [removed] Most polls indicate <e>Romney</e> in a slight <a>lead</a> (poll) with about 47% of votes....must be the 47% ... http://t.co/cHyqdEPA,155,"['remove', 'poll', 'indicate', 'Romney', 'slight', 'lead', 'poll', 'vote', 'must', 'http']",r/politics removed Most polls indicate Romney in a slight lead poll with about 47 of votes must be the 47 http t.co/cHyqdEPA
33,<e> Romney</e> will <a>win</a>. Tell it here: http://t.co/pIKQRbsW and vote !!!http://t.co/UTSZ76R6,99,"['Romney', 'win', 'Tell', 'http', 'vote', 'http']",Romney will win Tell it here http t.co/pIKQRbsW and vote http t.co/UTSZ76R6
34, I'm going to move to Canada if Mitt <e>Romney</e> <a>wins</a>,62,"['go', 'move', 'Canada', 'Mitt', 'Romney', 'win']",I 'm going to move to Canada if Mitt Romney wins
35,<e> Romney</e> is <a>winning</a>? GOOD.,39,"['Romney', 'win', 'GOOD']",Romney is winning GOOD
36, Morgan for Mitt: CNN Star Says <e>Romney</e> 'Might Just <a>Save America</a>' http://t.co/xEAmcS1o #ohio #columbus #lancaster #akron #abc,138,"['Morgan', 'Mitt', 'CNN', 'Star', 'Says', 'Romney', 'Save', 'America', 'http', 'ohio', 'columbus', 'lancaster', 'akron', 'abc']",Morgan for Mitt CNN Star Says Romney 'Might Just Save America http t.co/xEAmcS1o ohio columbus lancaster akron abc
37, Bainport to <e>Romney</e>: Save Our <a>Jobs</a>! #1u #p2 #labor #Sensata http://t.co/XwXHsFQm,94,"['Bainport', 'Romney', 'Save', 'Jobs', 'labor', 'Sensata', 'http']",Bainport to Romney Save Our Jobs 1u p2 labor Sensata http t.co/XwXHsFQm
38, @FightForJobs <a>vote</a> for <e>romney</e> not the socialist pig,66,"['FightForJobs', 'vote', 'romney', 'socialist', 'pig']",FightForJobs vote for romney not the socialist pig
39, Read up on #<e>romney</e>'s <a>incredible</a> plan to <a>cut taxes</a> by $5 trillion! http://t.co/wIYnelrI,108,"['Read', 'romney', 'incredible', 'plan', 'cut', 'tax', 'trillion', 'http']",Read up on romney 's incredible plan to cut taxes by 5 trillion http t.co/wIYnelrI
40, <e>romney</e>'s <a>Tax Plan</a>. <a>Brilliant</a>. http://t.co/7PJNgWqE,72,"['romney', 'Tax', 'Plan', 'Brilliant', 'http']",romney 's Tax Plan Brilliant http t.co/7PJNgWqE
41, Mitt #<e>romney</e>'s tax plan adds up to a #tax hike for the <a>middle class</a>. Here's the math:  http://t.co/lhMwzn29,122,"['Mitt', 'romney', 'tax', 'plan', 'add', 'tax', 'hike', 'middle', 'class', 'math', 'http']",Mitt romney 's tax plan adds up to a tax hike for the middle class Here 's the math http t.co/lhMwzn29
42, Freeport City Council Votes Unanimously to Call On Mitt <e>romney</e> to Save #<a>Sensata Jobs</a>! http://t.co/54iDUiId via @youtube #FightForJobs,148,"['Freeport', 'City', 'Council', 'Votes', 'Unanimously', 'Call', 'Mitt', 'romney', 'Save', 'Sensata', 'Jobs', 'http', 'via', 'youtube', 'FightForJobs']",Freeport City Council Votes Unanimously to Call On Mitt romney to Save Sensata Jobs http t.co/54iDUiId via youtube FightForJobs
43, @Lynx60C Yes!! <e>romney</e> better <a>win</a>!!! ;D,53,"['Yes', 'romney', 'better', 'win']",Lynx60C Yes romney better win D
44, c'mon <e>romney</e>!!!!,24,['romney'],c'mon romney
45, Lmfao. This is amazing. #<e>romney</e> http://t.co/yUhor12S,60,"['Lmfao', 'amaze', 'romney', 'http']",Lmfao This is amazing romney http t.co/yUhor12S
46, It all makes sense now.  http://t.co/gCLrhE9H #<e>romney</e>,61,"['make', 'sense', 'http', 'romney']",It all makes sense now http t.co/gCLrhE9H romney
47," ""@Kalekeni_K: I'm a <e>romney</e> man"" eeh!!",45,"['Kalekeni_K', 'romney', 'man', 'eeh']",Kalekeni_K I 'm a romney man eeh
48, <e>romney</e> finally released his <a>tax plan</a> & it's even better than I expected! Most <a>honest</a> from any politician to date: http://t.co/gMVlU15C,156,"['romney', 'finally', 'release', 'tax', 'plan', 'even', 'better', 'expect', 'honest', 'politician', 'date', 'http']",romney finally released his tax plan it 's even better than I expected Most honest from any politician to date http t.co/gMVlU15C
49, I'm so excited to watch the <a>Presidential debate</a> tonight! #<e>romney</e>,79,"['excite', 'watch', 'Presidential', 'debate', 'tonight', 'romney']",I 'm so excited to watch the Presidential debate tonight romney
50,<a> Swing States</a> poll: <a>Women</a> push <e>romney</e> into lead http://t.co/dNpbSYVV via @USAToday,103,"['Swing', 'States', 'poll', 'Women', 'push', 'romney', 'lead', 'http', 'via', 'USAToday']",Swing States poll Women push romney into lead http t.co/dNpbSYVV via USAToday
51, This Ohio Mom is <a>Voting</a> for Mitt <e>romney</e> http://t.co/5MrJkXeN via @akronohiomoms,94,"['Ohio', 'Mom', 'Voting', 'Mitt', 'romney', 'http', 'via', 'akronohiomoms']",This Ohio Mom is Voting for Mitt romney http t.co/5MrJkXeN via akronohiomoms
52, via Gallup: <e>romney</e> expands <a>lead</a> among <a>likely voters</a> now up by four http://t.co/jQ8uiv9Iâ€,112,"['via', 'Gallup', 'romney', 'expand', 'lead', 'among', 'likely', 'voters', 'four', 'http']",via Gallup romney expands lead among likely voters now up by four http t.co/jQ8uiv9Iâ€
53," @Mitt<e>romney</e> best of luck tonight. We are very proud of you and look forward to ""<a>President</a> Mitt <e>romney</e>""http://t.co/4wqb01T0",144,"['Mittromney', 'best', 'luck', 'tonight', 'proud', 'look', 'forward', 'President', 'Mitt', 'romney', 'http']",Mittromney best of luck tonight We are very proud of you and look forward to President Mitt romney http t.co/4wqb01T0
54, American Voices: <a>Ross Perot</a> Endorses <e>romney</e> http://t.co/S66ayTCP #TheOnion,89,"['American', 'Voices', 'Ross', 'Perot', 'Endorses', 'romney', 'http', 'TheOnion']",American Voices Ross Perot Endorses romney http t.co/S66ayTCP TheOnion
55, <a>Swing States</a> poll: <a>Women</a> push <e>romney</e> into lead> http://t.co/tu5hmVDj Awwwww :( #Sux2bBarry after a debate.#tcot #p2@calickizzle,149,"['Swing', 'States', 'poll', 'Women', 'push', 'romney', 'lead', 'http', 'Awwwww', 'debate', 'tcot', 'calickizzle']",Swing States poll Women push romney into lead http t.co/tu5hmVDj Awwwww Sux2bBarry after a debate tcot p2 calickizzle
56, Sen. Rob Portman: <e>romney</e> â€˜Probablyâ€™ Could <a>Win</a> Election Without Ohio â€“ KKOH,95,"['Sen', 'Rob', 'Portman', 'romney', 'Could', 'Win', 'Election', 'Without', 'Ohio', 'KKOH']",Sen Rob Portman romney â€˜Probablyâ€™ Could Win Election Without Ohio â€ “ KKOH
57, @aaronmiller19 I want mitt <e>romney</e> for <a>president</a>.,63,"['want', 'mitt', 'romney', 'president']",aaronmiller19 I want mitt romney for president
58, U want a pres that doesnt want to bring troops home fr <a>Afghanistan</a> vote fr <e>romney</e>. U want a pres who brings troops home by'14 vote fr <e>obama</e>,161,"['U', 'want', 'pres', 'doesnt', 'want', 'bring', 'troop', 'home', 'fr', 'Afghanistan', 'vote', 'fr', 'romney', 'U', 'want', 'pres', 'bring', 'troop', 'home', 'vote', 'fr', 'obama']",U want a pres that doesnt want to bring troops home fr Afghanistan vote fr romney U want a pres who brings troops home by'14 vote fr obama
59, The #<e>romney</e>Recovery starts on November 6. Let's <a>elect</a> <e>romney</e> to give <a>businesses</a> the confidence and certainty they need to start hiring again,169,"['romneyRecovery', 'start', 'November', 'Let', 'elect', 'romney', 'give', 'businesses', 'confidence', 'certainty', 'need', 'start', 'hire']",The romneyRecovery starts on November 6 Let 's elect romney to give businesses the confidence and certainty they need to start hiring again
60, @HeyGeno @meredithfo Think abt GE and BHO. <e>romney</e>.He knows how to <a>make money</a>. your Preez knows how to Squander money,131,"['HeyGeno', 'meredithfo', 'Think', 'abt', 'GE', 'BHO', 'know', 'make', 'money', 'Preez', 'know', 'Squander', 'money']",HeyGeno meredithfo Think abt GE and BHO romney.He knows how to make money your Preez knows how to Squander money
61, I'm a republican <a>votin'</a> for Mitt <e>romney</e>,54,"['republican', 'votin', 'Mitt', 'romney']",I 'm a republican votin for Mitt romney
62, Gallupâ€™s Likely Voters Poll has <e>romney</e> <a>Winning</a> 50-46. Could this be a game-changer for the election? http://t.co/vgwl1Xry #Election2012,152,"['Likely', 'Voters', 'Poll', 'romney', 'Winning', 'Could', 'election', 'http']",Gallupâ€™s Likely Voters Poll has romney Winning 50-46 Could this be a game-changer for the election http t.co/vgwl1Xry Election2012
63, <e>romney</e> surges among rural voters in <a>swing states</a> http://t.co/8UEQStp8 <a>SEATTLE</a> POLITICS,108,"['romney', 'surge', 'among', 'rural', 'voters', 'swing', 'state', 'http', 'SEATTLE', 'POLITICS']",romney surges among rural voters in swing states http t.co/8UEQStp8 SEATTLE POLITICS
64, FINALLY !!! <e>romney</e>'s <a>Tax Plan</a>. THIS IS BIG #NEWS !!! http://t.co/GshYLFK0 #<e>romney</e> #TaxPlan,112,"['FINALLY', 'romney', 'Tax', 'Plan', 'BIG', 'NEWS', 'http', 'romney', 'TaxPlan']",FINALLY romney 's Tax Plan THIS IS BIG NEWS http t.co/GshYLFK0 romney TaxPlan
65, Poll: <e>romney</e> Leads by 22 in Rural <a>Swing Counties</a> http://t.co/kwZaRcO3 #RWNJAlert,95,"['Poll', 'romney', 'Leads', 'Rural', 'Swing', 'Counties', 'http', 'RWNJAlert']",Poll romney Leads by 22 in Rural Swing Counties http t.co/kwZaRcO3 RWNJAlert
66,<a> Victory Rally</a> with Mitt <e>romney</e> And Country Music Star <a>Lee Greenwood</a> In Chesapeake Virginia On Wednesday,125,"['Victory', 'Rally', 'Mitt', 'romney', 'Country', 'Music', 'Star', 'Lee', 'Greenwood', 'Chesapeake', 'Virginia', 'Wednesday']",Victory Rally with Mitt romney And Country Music Star Lee Greenwood In Chesapeake Virginia On Wednesday
67,<a>Good luck</a> and God bless Mitt Romney #CantAfford4More #MittYouGotThis #RomneyRyan2012 #debate2012,103,"['Good', 'luck', 'God', 'bless', 'Mitt', 'Romney', 'MittYouGotThis']",Good luck and God bless Mitt Romney CantAfford4More MittYouGotThis RomneyRyan2012 debate2012
68,@ceceladyceo @blackrepublican @<e>romney</e> ... MUCH better than under the <a>current administration</a>.,106,"['ceceladyceo', 'blackrepublican', 'romney', 'MUCH', 'better', 'current', 'administration']",ceceladyceo blackrepublican romney MUCH better than under the current administration
69,@theblaze How can <e>Romney</e> <a>keep from winning</a> tonight with the <a>truth and all the prayers being offered</a> don his behalf?,136,"['theblaze', 'Romney', 'keep', 'win', 'tonight', 'truth', 'prayers', 'offer', 'behalf']",theblaze How can Romney keep from winning tonight with the truth and all the prayers being offered don his behalf
70,Why are you afraid of #<a>Freedom </a>&amp; #Liberty? @realDonaldTrump #GaryJohnson pulling votes from @Mitt<e>Romney</e> <a>Don't waste your vote</a> <e>Obama</e> must go!,172,"['afraid', 'Freedom', 'amp', 'Liberty', 'realDonaldTrump', 'GaryJohnson', 'pull', 'vote', 'MittRomney', 'waste', 'vote', 'Obama', 'must', 'go']",Why are you afraid of Freedom amp Liberty realDonaldTrump GaryJohnson pulling votes from MittRomney Do n't waste your vote Obama must go
71,"@DRUDGE_REPORT CEO's, millionaires and billionaires <a>donate</a> to <e>Romney</e> and then opine on the election.",114,"['DRUDGE_REPORT', 'CEO', 'millionaires', 'billionaires', 'donate', 'Romney', 'opine', 'election']",DRUDGE_REPORT CEO 's millionaires and billionaires donate to Romney and then opine on the election
72,@lLoveCoffee @mitt<e>Romney</e> for<a> sure</a>. The USA can't take 4 more of <e>Obama</e>. #BadEconomy #Debt #unemployment #HighGasoline 46.7 on food stamps!!!,160,"['lLoveCoffee', 'mittRomney', 'sure', 'USA', 'ca', 'take', 'Obama', 'BadEconomy', 'Debt', 'unemployment', 'HighGasoline', 'food', 'stamp']",lLoveCoffee mittRomney for sure The USA ca n't take 4 more of Obama BadEconomy Debt unemployment HighGasoline 46.7 on food stamps
73,Letter from Ex-MRS. POCHO: â€˜All employees must <a>vote</a> for <e>Romney</e>â€™ http://t.co/UXTK0Wq3 via @PochoDotCom<,120,"['Letter', 'POCHO', 'employees', 'must', 'vote', 'http', 'via', 'PochoDotCom']",Letter from Ex-MRS POCHO â€˜All employees must vote for Romneyâ€™ http t.co/UXTK0Wq3 via PochoDotCom
74,@NewsNinja2012 <e>Obama</e> has <a>divided this country</a>. It is so sad to see this but it makes me more <a>determined</a> than ever to vote for <e>Romney</e>,160,"['Obama', 'divide', 'country', 'sad', 'see', 'make', 'determine', 'ever', 'vote', 'Romney']",NewsNinja2012 Obama has divided this country It is so sad to see this but it makes me more determined than ever to vote for Romney
75,"@DLoesch Boehlert claiming the <a>media</a> has been in the tank for <e>Romney</e> is the equivalent of Henry Winkler, a pair of skis and a shark tank.",151,"['DLoesch', 'Boehlert', 'claim', 'media', 'tank', 'Romney', 'equivalent', 'Henry', 'Winkler', 'pair', 'ski', 'shark', 'tank']",DLoesch Boehlert claiming the media has been in the tank for Romney is the equivalent of Henry Winkler a pair of skis and a shark tank
76,"@KeithKingbay I'm voting for <e>Romney</e>/ Ryan, because I'm just flat out tired of <a>women having rights</a>.",112,"['KeithKingbay', 'vote', 'Romney', 'Ryan', 'flat', 'tire', 'women', 'right']",KeithKingbay I 'm voting for Romney Ryan because I 'm just flat out tired of women having rights
77,@CommonSensePre1 TYSM for the followâ£ Now following back! Go <e>Mitt</e> tonite!,82,"['TYSM', 'follow', 'back', 'Go', 'Mitt', 'tonite']",CommonSensePre1 TYSM for the followâ£ Now following back Go Mitt tonite
78,-@hollybdc's incredible piece about <e>Romney</e>'s hands-on <a>campaign style<a> is a must read: http://t.co/UPs7KlHy,118,"['hollybdc', 'incredible', 'piece', 'Romney', 'campaign', 'style', 'must', 'read', 'http']",hollybdc 's incredible piece about Romney 's hands-on campaign style is a must read http t.co/UPs7KlHy
79,"@MarkRMatthews ..and <e>Romney</e> will win again tonight.  A man with the <a>truth</a> on his side, and divine providence can't help but win!",142,"['MarkRMatthews', 'Romney', 'win', 'tonight', 'man', 'truth', 'side', 'divine', 'providence', 'ca', 'help', 'win']",MarkRMatthews and Romney will win again tonight A man with the truth on his side and divine providence ca n't help but win
80,"@AdriannaLunaxxx   Like the <e>Romney</e> <a>campaign</a> says, the government needs to stay out of businesses way",114,"['AdriannaLunaxxx', 'Like', 'Romney', 'campaign', 'say', 'government', 'need', 'stay', 'businesses', 'way']",AdriannaLunaxxx Like the Romney campaign says the government needs to stay out of businesses way
81,<a>Women</a> going huge 4 <e>Romney</e>; we luv alpha males! My latest pc atWashTimes http://t.co/W8H7RscG @Team<e>Romney</e> @TwitchyPolitics@RedState#tcot#war,160,"['Women', 'go', 'huge', 'Romney', 'luv', 'alpha', 'males', 'latest', 'pc', 'atWashTimes', 'http', 'TeamRomney', 'TwitchyPolitics', 'RedState', 'tcot', 'war']",Women going huge 4 Romney we luv alpha males My latest pc atWashTimes http t.co/W8H7RscG TeamRomney TwitchyPolitics RedState tcot war
82,"@BreitbartNews Gibbs, you can wish in one hand, and sh**!in the other, wishing don't make it so. <a>FACTS</a> are still on <e>Romney</e>'s side.",144,"['BreitbartNews', 'Gibbs', 'wish', 'one', 'hand', 'sh', 'wish', 'make', 'FACTS', 'still', 'Romney', 'side']",BreitbartNews Gibbs you can wish in one hand and sh in the other wishing do n't make it so FACTS are still on Romney 's side
83,"Time short,<a> women abandoning</a> <e>Obama</e>, NYT goes all in: 'A <e>Romney</e>-Ryan <a>victory</a> could result in re-criminalizing abortion in much of America.'",166,"['Time', 'short', 'women', 'abandon', 'Obama', 'NYT', 'go', 'victory', 'could', 'result', 'abortion', 'much', 'America']",Time short women abandoning Obama NYT goes all in 'A Romney-Ryan victory could result in re-criminalizing abortion in much of America
84,"#<e>Romney</e> accuses critics of his <a>tax plan</a> of using calculators: ""My numbers were pulled directly from my magical ass"" http://t.co/YvXAfvbo",150,"['Romney', 'accuse', 'critics', 'tax', 'plan', 'use', 'calculators', 'number', 'pull', 'directly', 'magical', 'ass', 'http']",Romney accuses critics of his tax plan of using calculators My numbers were pulled directly from my magical ass http t.co/YvXAfvbo
85,".@davidaxelrod ""We the small, we are very strong"" <e>ROMNEY</>/BAIN China Outsourced <a>French workers</a> #Bainport #Sensata http://t.co/rCw5SwbG",146,"['davidaxelrod', 'small', 'strong', 'China', 'Outsourced', 'French', 'workers', 'Bainport', 'Sensata', 'http']",davidaxelrod We the small we are very strong ROMNEY/BAIN China Outsourced French workers Bainport Sensata http t.co/rCw5SwbG
86,@Claremonster: Mitt <e>Romney</e>'s <a>financial plan</a> http://t.co/JSe9cov7 omg this is the best thing,105,"['Claremonster', 'Mitt', 'Romney', 'financial', 'plan', 'http', 'omg', 'best', 'thing']",Claremonster Mitt Romney 's financial plan http t.co/JSe9cov7 omg this is the best thing
87,@Likonium It should be the other way around. You'll be more likely to <a>find a job</a> after <e>Romney</e> gets elected.,121,"['Likonium', 'way', 'around', 'likely', 'find', 'job', 'Romney', 'get', 'elect']",Likonium It should be the other way around You 'll be more likely to find a job after Romney gets elected
88,<a>Women</a> moving to <e>Romney</e>,36,"['Women', 'move', 'Romney']",Women moving to Romney
89,"@AnnDRomney Praying 4 Mitt and our Country. God provides the strength of message, and has given <e>Mitt</e> the <a>talents</a> to deliver it. Go Mitt!",150,"['AnnDRomney', 'Praying', 'Mitt', 'Country', 'God', 'provide', 'strength', 'message', 'give', 'Mitt', 'talents', 'deliver', 'Go', 'Mitt']",AnnDRomney Praying 4 Mitt and our Country God provides the strength of message and has given Mitt the talents to deliver it Go Mitt
90,"@Jennyablue plus no matter what happens the media <a>will cry</a> zomg! <e>romney</e> won! cant tell a lie! look at the ""mittmentum"" building @tcoop122",151,"['Jennyablue', 'plus', 'matter', 'happen', 'media', 'cry', 'zomg', 'romney', 'cant', 'tell', 'lie', 'look', 'mittmentum', 'build']",Jennyablue plus no matter what happens the media will cry zomg romney won cant tell a lie look at the mittmentum building tcoop122
91,"@DK1590, I agree <e>Romney</e> needs to <a>elaborate</a> a little more.",71,"['agree', 'Romney', 'need', 'elaborate', 'little']",DK1590 I agree Romney needs to elaborate a little more
92,<e>women</e> push <e>Romney</e> into lead. says #usatoday...like...wtf!? why? WOMEN. get it TOGETHER.,101,"['women', 'push', 'Romney', 'lead', 'say', 'usatoday', 'like', 'wtf', 'WOMEN', 'get', 'TOGETHER']",women push Romney into lead says usatoday like wtf why WOMEN get it TOGETHER
93,I believe <e>Mitt</e>'s slight <a>lead in RCP national average</a> means he's actually significantly ahead bc  averaged polls still biased toward Dems,150,"['believe', 'Mitt', 'slight', 'lead', 'RCP', 'national', 'average', 'mean', 'actually', 'significantly', 'ahead', 'bc', 'average', 'poll', 'still', 'bias', 'toward', 'Dems']",I believe Mitt 's slight lead in RCP national average means he 's actually significantly ahead bc averaged polls still biased toward Dems
94,@BillMedley1 I'm working away this morning. I'm excited about the<a> debate</a>. I want <e>Romney</e> to seal the deal! Will you call him &amp; tell him?,153,"['work', 'away', 'morning', 'excite', 'debate', 'want', 'Romney', 'seal', 'deal', 'call', 'amp', 'tell']",BillMedley1 I 'm working away this morning I 'm excited about the debate I want Romney to seal the deal Will you call him amp tell him
95,"@DianneInIndiana @KatyinIndy Yes, Yes, Yes &amp; Yes. Too bad more don't see this. They are blinded thinking a #<e>Romney</e> <a>victory</a> will fix all.",154,"['DianneInIndiana', 'KatyinIndy', 'Yes', 'Yes', 'Yes', 'amp', 'Yes', 'bad', 'see', 'blind', 'think', 'Romney', 'victory', 'fix']",DianneInIndiana KatyinIndy Yes Yes Yes amp Yes Too bad more do n't see this They are blinded thinking a Romney victory will fix all
96,- Former President George W. <a>Bush re-affirmed his support</> of Mitt <e>Romney</>... http://t.co/C33e0lIg,108,"['Former', 'President', 'George', 'W', 'Bush', 'support', 'Mitt', 'Romney', 'http']",Former President George W Bush re-affirmed his support of Mitt Romney http t.co/C33e0lIg
97,"@AdamGraySays    Well there you go then, <e>Romney</e>'s up 1. Not much of  surge is it...",90,"['AdamGraySays', 'Well', 'go', 'Romney', 'much', 'surge']",AdamGraySays Well there you go then Romney 's up 1 Not much of surge is it
98,@JBabits hopefully he <a>wins</a>. America is done for if <e>Obama</e> wins again. I just wish America would grow a brain and realize that. Although <e>RomneY</e>,162,"['JBabits', 'hopefully', 'win', 'America', 'do', 'Obama', 'win', 'wish', 'America', 'would', 'grow', 'brain', 'realize', 'Although', 'RomneY']",JBabits hopefully he wins America is done for if Obama wins again I just wish America would grow a brain and realize that Although RomneY
99,@betty_five Mitt <e>Romney</e>.,31,"['betty_five', 'Mitt', 'Romney']",betty_five Mitt Romney
100,"<a>Zionist U.S. College Students</a> Are Favoring<e>Romney</e>: For Zionist students, <a>foreign policy</a>, and particularly the ca... http://t.co/hElIPq5h",156,"['Zionist', 'College', 'Students', 'FavoringRomney', 'Zionist', 'students', 'foreign', 'policy', 'particularly', 'ca', 'http']",Zionist U.S College Students Are FavoringRomney For Zionist students foreign policy and particularly the ca http t.co/hElIPq5h
101,@TerryMoran  #<e>Obama</e> said #Americans increasingly Naiive https://t.co/0VP9t7gG He thinks he can<a> fool the people</a> all of the time #vote<e>Romney</e>,159,"['TerryMoran', 'Obama', 'say', 'Americans', 'increasingly', 'Naiive', 'https', 'think', 'fool', 'people', 'time', 'voteRomney']",TerryMoran Obama said Americans increasingly Naiive https t.co/0VP9t7gG He thinks he can fool the people all of the time voteRomney
